ts,value
1614916833506,24
1614916834506,24
1614916835506,24
1614916836505,24
1614916837506,24
1614916838506,24
1614916839506,24
1614916840506,24
1614916841505,24
1614916842505,24
1614916843506,24
1614916844506,24
1614916845505,24
1614916846506,24
1614916847506,24
1614916848506,24
1614916849506,24
1614916850505,24
1614916851506,24
1614916852506,24
1614916853505,24
1614916854507,24
1614916855506,24
1614916856506,24
1614916857506,24
1614916858506,24
1614916859507,24
1614916860505,24
1614916861506,24
1614916862506,24
1614916863506,24
1614916864506,24
1614916865506,24
1614916866505,24
1614916867506,24
1614916868506,24
1614916869506,24
1614916870506,24
1614916871506,24
1614916872507,24
1614916873506,24
1614916874505,24
1614916875506,24
1614916876506,24
1614916877506,24
1614916878505,24
1614916879505,24
1614916880506,24
1614916881506,24
1614916882505,24
1614916883506,24
1614916884506,24
1614916885505,24
1614916886506,24
1614916887506,24
1614916888506,24
1614916889506,24
1614916890505,24
1614916891506,24
1614916892507,24
1614916893505,24
1614916894506,24
1614916895506,24
1614916896506,24
1614916897506,24
1614916898506,24
1614916899507,24
1614916900505,24
1614916901506,24
1614916902505,24
1614916903506,24
1614916904507,24
1614916905506,24
1614916906506,24
1614916907506,24
1614916908506,24
1614916909505,24
1614916910506,24
1614916911506,24
1614916912506,24
1614916913506,24
1614916914506,24
1614916915506,24
1614916916506,24
1614916917506,24
1614916918506,24
1614916919506,24
1614916920506,24
1614916921506,24
1614916922506,24
1614916923506,24
1614916924506,24
1614916925506,24
1614916926506,24
1614916927506,24
1614916928506,24
1614916929506,24
1614916930506,24
1614916931506,24
1614916932506,24
1614916933505,24
1614916934506,24
1614916935506,24
1614916936506,24
1614916937505,24
1614916938506,24
1614916939506,24
1614916940506,24
1614916941506,24
1614916942506,24
1614916943506,24
1614916944506,24
1614916945505,24
1614916946505,24
1614916947506,24
1614916948506,24
1614916949506,24
1614916950506,24
1614916951507,24
1614916952506,24
1614916953507,24
1614916954506,24
1614916955506,24
1614916956506,24
1614916957506,24
1614916958506,24
1614916959506,24
1614916960506,24
1614916961506,24
1614916962506,24
1614916963506,24
1614916964506,24
1614916965506,24
1614916966506,24
1614916967505,24
1614916968506,24
1614916969506,24
1614916970506,24
1614916971506,24
1614916972505,24
1614916973506,24
1614916974506,24
1614916975506,24
1614916976505,24
1614916977506,24
1614916978506,24
1614916979506,24
1614916980505,24
1614916981506,24
1614916982506,24
1614916983506,24
1614916984506,24
1614916985506,24
1614916986506,24
1614916987506,24
1614916988506,24
1614916989506,24
1614916990506,24
1614916991506,24
1614916992506,24
1614916993506,24
1614916994505,24
1614916995505,24
1614916996506,24
1614916997506,24
1614916998505,24
1614916999506,24
1614917000506,24
1614917001506,24
1614917002505,24
1614917003506,24
1614917004506,24
1614917005506,24
1614917006506,24
1614917007505,24
1614917008506,24
1614917009506,24
1614917010506,24
1614917011506,24
1614917012505,24
1614917013506,24
1614917014506,24
1614917015506,24
1614917016505,24
1614917017506,24
1614917018506,24
1614917019506,24
1614917020506,24
1614917021506,24
1614917022506,24
1614917023506,24
1614917024506,24
1614917025506,24
1614917026505,24
1614917027506,24
1614917028505,24
1614917029506,24
1614917030506,24
1614917031506,24
1614917032506,24
1614917033505,24
1614917034506,24
1614917035506,24
1614917036506,24
1614917037506,24
1614917038505,24
1614917039506,24
1614917040507,24
1614917041506,24
1614917042506,24
1614917043506,24
1614917044506,24
1614917045506,24
1614917046506,24
1614917047506,24
1614917048505,24
1614917049506,24
1614917050506,24
1614917051506,24
1614917052505,24
1614917053506,24
1614917054506,24
1614917055506,24
1614917056506,24
1614917057506,24
1614917058506,24
1614917059506,24
1614917060506,24
1614917061506,24
1614917062507,24
1614917063506,24
1614917064506,24
1614917065506,24
1614917066506,24
1614917067505,24
1614917068505,24
1614917069505,24
1614917070506,24
1614917071506,24
1614917072506,24
1614917073505,24
1614917074506,24
1614917075506,24
1614917076505,24
1614917077507,24
1614917078506,24
1614917079506,24
1614917080506,24
1614917081506,24
1614917082506,24
1614917083505,24
1614917084506,24
1614917085506,24
1614917086505,24
1614917087506,24
1614917088506,24
1614917089506,24
1614917090505,24
1614917091506,24
1614917092505,24
1614917093507,24
1614917094505,24
1614917095506,24
1614917096506,24
1614917097506,24
1614917098506,24
1614917099506,24
1614917100506,24
1614917101506,24
1614917102506,24
1614917103506,24
1614917104506,24
1614917105505,24
1614917106506,24
1614917107506,24
1614917108506,24
1614917109506,24
1614917110506,24
1614917111506,24
1614917112506,24
1614917113506,24
1614917114506,24
1614917115505,24
1614917116505,24
1614917117505,24
1614917118506,24
1614917119506,24
1614917120506,24
1614917121506,24
1614917122506,24
1614917123505,24
1614917124506,24
1614917125506,24
1614917126505,24
1614917127506,24
1614917128506,24
1614917129506,24
1614917130506,24
1614917131506,24
1614917132506,24
1614917133506,24
1614917134506,24
1614917135505,24
1614917136506,24
1614917137506,24
1614917138506,24
1614917139506,24
1614917140506,24
1614917141506,24
1614917142506,24
1614917143506,24
1614917144506,24
1614917145505,24
1614917146506,24
1614917147505,24
1614917148506,24
1614917149506,24
1614917150505,24
1614917151506,24
1614917152506,24
1614917153505,24
1614917154505,24
1614917155506,24
1614917156506,24
1614917157505,24
1614917158506,24
1614917159506,24
1614917160506,24
1614917161506,24
1614917162506,24
1614917163505,24
1614917164506,24
1614917165506,24
1614917166506,24
1614917167506,24
1614917168506,24
1614917169506,24
1614917170506,24
1614917171506,24
1614917172506,24
1614917173506,24
1614917174506,24
1614917175505,24
1614917176506,24
1614917177506,24
1614917178506,24
1614917179505,24
1614917180506,24
1614917181505,24
1614917182505,24
1614917183506,24
1614917184505,24
1614917185506,24
1614917186506,24
1614917187506,24
1614917188506,24
1614917189506,24
1614917190506,24
1614917191506,24
1614917192506,24
1614917193506,24
1614917194506,24
1614917195506,24
1614917196506,24
