Time (milliseconds),files_open
20691001,24
20692001,24
20693001,24
20694001,24
20695001,24
20696001,24
20697002,24
20698001,24
20699001,24
20700001,24
20701002,24
20702001,24
20703001,24
20704001,24
20705001,24
20706001,24
20707001,24
20708001,24
20709001,24
20710001,24
20711001,24
20712001,24
20713001,24
20714001,24
20715002,24
20716001,24
20717001,24
20718003,24
20719001,24
20720001,24
20721002,24
20722001,24
20723001,24
20724002,24
20725001,24
20726001,24
20727001,24
20728001,24
20729001,24
20730002,24
20731001,24
20732001,24
20733001,24
20734001,24
20735001,24
20736002,24
20737001,24
20738002,24
20739001,24
20740001,24
20741001,24
20742001,24
20743001,24
20744001,24
20745001,24
20746002,24
20747003,24
20748001,24
20749001,24
20750001,24
20751001,24
20752001,24
20753001,24
20754001,24
20755001,24
20756001,24
20757001,24
20758001,24
20759001,24
20760002,24
20761002,24
20762001,24
20763001,24
20764001,24
20765002,24
20766001,24
20767001,24
20768001,24
20769001,24
20770001,24
20771001,24
20772001,24
20773001,24
20774002,24
20775001,24
20776002,24
20777001,24
20778002,24
20779001,24
20780001,24
20781002,24
20782001,24
20783001,24
20784001,24
20785001,24
20786001,24
20787001,24
20788001,24
20789001,24
20790001,24
20791001,24
20792001,24
20793001,24
20794001,24
20795002,24
20796001,24
20797001,24
20798001,24
20799001,24
20800001,24
20801002,24
20802003,24
20803002,24
20804001,24
20805001,24
20806002,24
20807001,24
20808001,24
20809001,24
20810001,24
20811002,24
20812001,24
20813002,24
20814001,24
20815001,24
20816002,24
20817001,24
20818001,24
20819001,24
20820001,24
20821001,24
20822001,24
20823002,24
20824001,24
20825001,24
20826001,24
20827001,24
20828003,24
20829001,24
20830001,24
20831001,24
20832001,24
20833001,24
20834001,24
20835002,24
20836001,24
20837002,24
20838001,24
20839001,24
20840001,24
20841001,24
20842001,24
20843001,24
20844001,24
20845001,24
20846001,24
20847002,24
20848001,24
20849001,24
20850001,24
20851001,24
20852001,24
20853001,24
20854003,24
20855001,24
20856001,24
20857001,24
20858001,24
20859001,24
20860002,24
20861002,24
20862001,24
20863001,24
20864002,24
20865001,24
20866001,24
20867001,24
20868001,24
20869001,24
20870002,24
20871001,24
20872001,24
20873001,24
20874002,24
20875001,24
20876002,24
20877001,24
20878001,24
20879001,24
20880002,24
20881001,24
20882002,24
20883001,24
20884001,24
20885001,24
20886001,24
20887001,24
20888001,24
20889001,24
20890001,24
20891001,24
20892001,24
20893001,24
20894001,24
20895003,24
20896002,24
20897001,24
20898001,24
20899002,24
20900001,24
20901001,24
20902001,24
20903001,24
20904001,24
20905001,24
20906001,24
20907001,24
20908001,24
20909001,24
20910001,24
20911001,24
20912001,24
20913001,24
20914001,24
20915001,24
20916001,24
20917001,24
20918001,24
20919001,24
20920001,24
20921001,24
20922001,24
20923001,24
20924001,24
20925001,24
20926001,24
20927001,24
20928001,24
20929001,24
20930002,24
20931002,24
20932001,24
20933001,24
20934001,24
20935002,24
20936001,24
20937001,24
20938001,24
20939001,24
20940001,24
20941002,24
20942001,24
20943001,24
20944001,24
20945001,24
20946001,24
20947002,24
20948001,24
20949001,24
20950001,24
20951001,24
20952001,24
20953001,24
20954001,24
20955001,24
20956001,24
20957001,24
20958001,24
20959001,24
20960001,24
20961002,24
20962001,24
20963001,24
20964001,24
20965001,24
20966001,24
20967001,24
20968001,24
20969002,24
20970001,24
20971001,24
20972001,24
20973002,24
20974001,24
20975001,24
20976001,24
20977001,24
20978001,24
20979001,24
20980001,24
20981001,24
20982001,24
20983001,24
20984001,24
20985001,24
20986001,24
20987001,24
20988001,24
20989001,24
20990001,24
20991001,24
20992001,24
20993001,24
20994001,24
20995001,24
20996001,24
20997001,24
20998001,24
20999001,24
21000001,24
21001002,24
21002001,24
21003002,24
21004001,24
21005001,24
21006001,24
21007001,24
21008001,24
21009001,24
21010001,24
21011001,24
21012002,24
21013001,24
21014001,24
21015001,24
21016001,24
21017001,24
21018001,24
21019001,24
21020001,24
21021002,24
21022001,24
21023001,24
21024002,24
21025001,24
21026002,24
21027001,24
21028001,24
21029001,24
21030001,24
21031001,24
21032001,24
21033001,24
21034001,24
21035001,24
21036001,24
21037001,24
21038001,24
21039001,24
21040002,24
21041001,24
21042002,24
21043001,24
21044001,24
21045001,24
21046001,24
21047001,24
21048002,24
21049001,24
21050001,24
21051001,24
21052001,24
21053001,24
21054001,24
21055001,24
21056001,24
21057001,24
21058001,24
21059001,24
21060001,24
21061001,24
21062001,24
21063001,24
21064002,24
21065001,24
21066001,24
21067002,24
21068001,24
21069001,24
21070001,24
21071001,24
21072001,24
21073003,24
21074001,24
21075001,24
21076001,24
21077001,24
21078001,24
21079001,24
21080001,24
21081001,24
21082002,24
21083001,24
21084001,24
21085001,24
21086002,24
21087001,24
21088001,24
21089002,24
21090001,24
21091001,24
21092002,24
21093001,24
21094001,24
21095002,24
21096001,24
21097001,24
21098001,24
21099001,24
21100001,24
21101001,24
21102001,24
21103001,24
21104001,24
21105002,24
21106001,24
21107001,24
21108002,24
21109002,24
21110001,24
21111001,24
21112001,24
21113001,24
21114001,24
21115001,24
21116001,24
21117001,24
21118002,24
21119001,24
21120001,24
21121002,24
21122001,24
21123001,24
21124002,24
21125001,24
21126001,24
21127001,24
21128002,24
21129002,24
21130001,24
21131002,24
21132001,24
21133001,24
21134001,24
21135001,24
21136003,24
21137001,24
21138001,24
21139001,24
21140001,24
21141001,24
21142001,24
21143001,24
21144001,24
21145001,24
21146002,24
21147001,24
21148001,24
21149001,24
21150001,24
21151001,24
21152001,24
21153002,24
21154001,24
21155001,24
21156001,24
21157001,24
21158001,24
21159001,24
21160001,24
21161001,24
21162001,24
21163002,24
21164002,24
21165001,24
21166001,24
21167001,24
21168001,24
21169001,24
21170001,24
21171001,24
21172001,24
21173001,24
21174001,24
21175001,24
21176002,24
21177001,24
21178001,24
21179001,24
21180001,24
21181001,24
21182001,24
21183001,24
21184002,24
21185001,24
21186001,24
21187001,24
21188001,24
21189002,24
21190001,24
21191001,24
21192001,24
21193001,24
21194001,24
21195001,24
21196001,24
21197001,24
21198001,24
21199002,24
21200003,24
21201002,24
21202001,24
21203002,24
21204001,24
21205001,24
21206001,24
21207001,24
21208001,24
21209001,24
21210001,24
21211002,24
21212001,24
21213001,24
21214001,24
21215001,24
21216001,24
21217001,24
21218002,24
21219001,24
21220001,24
21221002,24
21222003,24
21223001,24
21224001,24
21225001,24
21226001,24
21227001,24
21228001,24
21229003,24
21230001,24
21231001,24
21232001,24
21233001,24
21234001,24
21235001,24
21236002,24
21237001,24
21238001,24
21239001,24
21240001,24
21241001,24
21242001,24
21243001,24
21244002,24
21245001,24
21246001,24
21247001,24
21248001,24
21249001,24
21250001,24
21251001,24
21252001,24
21253001,24
21254001,24
21255002,24
21256001,24
21257002,24
21258001,24
21259001,24
21260001,24
21261001,24
21262001,24
21263001,24
21264001,24
21265001,24
21266001,24
21267001,24
21268001,24
21269001,24
21270001,24
21271001,24
21272001,24
21273001,24
21274001,24
21275001,24
21276001,24
21277001,24
21278001,24
21279001,24
21280001,24
21281001,24
21282001,24
21283001,24
21284001,24
21285002,24
21286001,24
21287002,24
21288001,24
21289001,24
21290001,24
21291002,24
21292001,24
21293002,24
21294001,24
21295001,24
21296001,24
21297001,24
21298001,24
21299001,24
21300001,24
21301001,24
21302001,24
21303001,24
21304001,24
21305001,24
21306001,24
21307001,24
21308001,24
21309001,24
21310003,24
21311001,24
21312001,24
21313001,24
21314001,24
21315001,24
21316001,24
21317001,24
21318002,24
21319001,24
21320001,24
21321001,24
21322001,24
21323001,24
21324001,24
21325001,24
21326001,24
21327001,24
